Title,Artist,Difficulty,Book,Page,URL,Body,Chords,Tags
Eight Days A Week,The Beatles,1,Book 1,4,https://moselele.co.uk/individual_songs/Eight_Days_A_Week.pdf,"[C] [D] [F] [C]
[C] [D] [F] [C]

[C] Ooh I need your [D] love babe,
[F] Guess you know it's [C] true.
Hope you need my [D] love babe,
[F] Just like I need [C] you.
[Am] Hold me, [F] love me,
[Am] hold me, [D] love me.

I [C] ain't got nothin' but [D] love babe,
[F] Eight days a [C] week.

[C] Love you ev'ry [D] day girl,
[F] Always on my [C] mind.
One thing I can [D] say girl,
[F] Love you all the [C] time.

[Am] Hold me, [F] love me,
[Am] hold me, [D] love me.

I [C] ain't got nothin' but [D] love babe,
[F] Eight days a [C] week.

[G] Eight days a week I [Am] love you.
[D] Eight days a week is [F] not enough to
[G] show I care.

[C] Ooh I need your [D] love babe,
[F] Guess you know it's [C] true.
Hope you need my [D] love babe,
[F] Just like I need [C] you.

[Am] Hold me, [F] love me,
[Am] hold me, [D] love me.

I [C] ain't got nothin' but [D] love babe,
[F] Eight days a [C] week.

[G] Eight days a week I [Am] love you.
[D] Eight days a week is [F] not enough to
[G] show I care.

[C] Love you ev'ry [D] day girl,
[F] Always on my [C] mind.
One thing I can [D] say girl,
[F] Love you all the [C] time.

[Am] Hold me, [F] love me,
[Am] hold me, [D] love me.

I [C] ain't got nothin' but [D] love babe,
[F] Eight days a [C] week.

[F] Eight days a [C] week. [F] Eight days a [C] week.
[C] [D] [F] [C]","Am, C, D, F, G",
Ring of Fire,Johnny Cash,1,Book 1,6,https://moselele.co.uk/individual_songs/Ring_Of_Fire.pdf,"[G] [C] [G]

[G]Love is a [C]burning [G]thing
And it makes a [C] fiery [G] ring
Bound by [C] wild de-[G]-sire
I fell into a [C]ring of [G] fire

[D]I fell in to a [C] burning ring of [G] fire
I went [D] down, down, down
And the [C] flames went [G] higher

And it [G] burns, burns, burns
The [C] ring of [G] fire
The [C] ring of [G] fire

[G] The taste of [C] love is [G] sweet
When hearts like [C] ours [G] meet
I fell for you [C] like a [G] child
Oh but the [C] fire went [G] wild

[D] I fell in to a [C] burning ring of [G] fire
I went [D] down, down, down
And the [C] flames went [G] higher

And it [G] burns, burns, burns
The [C] ring of [G] fire
The [C] ring of [G] fire

[D] I fell in to a [C] burning ring of [G] fire
I went [D] down, down, down
And the [C] flames went [G] higher

[G]And it burns, burns, burns
The [C] ring of [G] fire
The [C] ring of [G] fire","C, D, G",
Folsom Prison Blues,Johnny Cash,1,Book 1,7,https://moselele.co.uk/individual_songs/Folsom_Prison_Blues.pdf,"[C]

I [C] hear the train a-comin'; it's rollin' 'round the bend,
And I ain't seen the sunshine since I don't know when,
I'm [F7] stuck in Folsom Prison and time keeps draggin' [C] on.
But that [G7] train keeps a-rollin' on down to San Ant-[C]-one.

When [C]I was just a baby, my momma told me,
""Son, Always be a good boy; don't ever play with guns.""
But I [F7]shot a man in Reno, just to watch him [C] die.
When I [G7] hear that whistle blowin', I hang my head and [C] cry.

[C]

[F7]      [C]
[G7]   [C]

I [C] bet there's rich folk eatin' in a fancy dining car.
They're prob'ly drinkin' coffee and smokin' big cigars,
But I [F7]know I had it comin', I know I can't be [C] free,
But those [G7] people keep a-movin', and that's what tortures [C]me.

[C]

[F7]      [C]
[G7]   [C]

Well if they [C] freed me from this prison, if that railroad train was mine,
I bet I'd move it all a little farther down the line,
[F7] Far from Folsom Prison, that's where I'd want to [C] stay,
And I'd [G7] let that lonesome whistle blow my blues [C] away.

[C]","C, F7, G7",
I Wanna Be Like You,The Jungle Book,2,Book 1,8,https://moselele.co.uk/individual_songs/I_Wanna_Be_Like_You.pdf,"[Am] I'm the king of the swingers
Oh, the jungle V.I. [E7] P,
I've reached the top and had to stop
And that's what botherin' [Am] me.
I wanna be a man, mancub,
And stroll right into [E7] town
And be just like the other men
I'm tired of monkeyin' [Am] around!

[G7] Oh, [C] oo-bee-doo
I wanna be like [A7] you
I wanna [D7] walk like you,
[G7] Talk like you [C] too.
[G7] You'll see it's [C] true
An ape like [A7] me
Can [D7] learn to be [G7] human [C] too.

Now [Am] don't try to kid me, mancub
I made a deal with [E7] you
What I desire is man's red fire
To make my dream come [Am] true.
Give me the secret, mancub,
Clue me what to [E7] do
Give me the power of man's red flower
So I can be like [Am] you.

[G7] Oh, [C] oo-bee-doo
I wanna be like [A7] you
I wanna [D7] walk like you,
[G7] Talk like you [C] too.
[G7] You'll see it's [C] true
An ape like [A7] me
Can [D7] learn to be [G7] human [C] too.

I [Am] like your mannerisms,
we'll be a set of [E7] twins
No one will know where man-cub ends
and orangutan [Am] begins
And when I eat bananas,
I won't peel them with my [E7] feet
'Cause I'll become a man-cub
and learn some etti - [Am] keet.

(solo)
[G7] [C] [A7] [D7] [G7] [C]
[G7] [C] [A7] [D7] [G7] [C]

[G7] Oh, [C] oo-bee-doo
I wanna be like [A7] you
I wanna [D7] walk like you,
[G7] Talk like you [C] too.
[G7] You'll see it's [C] true
An ape like [A7] me

Can [D7] learn to be [G7] human [C] too.
Can [D7] learn to be [G7] human [C] too

[Finish on the C]","A7, Am, C, D7, E7, G7",
Hold Me Now,The Thompson Twins,2,Book 1,10,https://moselele.co.uk/individual_songs/Hold_Me_Now.pdf,"[D] [Bm] [C] [A7]

[D]I have a picture
[Bm]Pinned to my wall
An [C]image of you and of me
And we're laughing with [A7]love at it all

[D]Look at our life now
[Bm]Tattered and torn
[C]We fuss and we fight and delight in the tears
that we [A7]cry until dawn

Chorus:
[D]Hold me now
[Bm]Warm my heart
[C]Stay with me
Let the [A7]loving start, let loving start

You [D]say I'm a dreamer
We're [Bm]two of a kind
[C]Both of us searching for some perfect place
We know [A7]we'll never find

So per[D]haps I should leave here
Yeah [Bm]Go far away
But you [C]know that there's nowhere that I'd rather be
Than with [A7]you here today Ooh Oh Ooh Oh

Chorus:
[D]Hold me now
[Bm]Warm my heart
[C]Stay with me
Let the [A7]loving start, let loving start

[D]Hold me now
Woah oh [Bm]Warm my heart
[C]Stay with me
Let the [A7]loving start, let loving start

[Bb]ohh[C]Ohh[Bb]Ohh[C]Ohh [Bb]Ohh[C]Ohh

You [D]asked if I love you
[Bm]What can I say
[C]You know that I do and that this is just one of those
[A7]Games that we play

So I'll [D]sing you a new song
Please don't [Bm]cry any more
I'll even [C]ask your forgiveness although I don't know
Just what I'm [A7]asking it for Ooh Oh Ooh Oh

Chorus:
[D]Hold me now
[Bm]Warm my heart
[C]Stay with me
Let the [A7]loving start, let loving start

[D]Hold me now
[Bm]Warm my heart
[C]Stay with me
Let the [A7]loving start, let loving start

[D]","A7, Bb, Bm, C, D",
Walking on Sunshine,Katrina & the Waves,1,Book 1,12,https://moselele.co.uk/individual_songs/Walking_On_Sunshine.pdf,"[C] [F] [G] [F]x 4

[C] I used to think [F] maybe you [G] love me, now [F] baby I’m sure[C] [F] [G] [F]
[C] And I just can’t [F] wait till the [G] day that you [F] knock on my door. [C] [F] [G] [F]
[C] Now everytime I [F] go for the [G] mailbox gotta [F] hold myself down. [C] [F] [G] [F]
[C] Cuz i just can’t [F] wait till you [G] write me your [F] coming around. [C] [F] [G]

[F] I'm walking on [G] sunshine... [F] Whoah! x3
And don't it feel good!

[C] [F] [G] [F]x 3

[C] I used to think [F] maybe you [G] loved me, now I [F] know that it's true [C] [F] [G] [F]
[C] And I don't wanna [F] spend my whole [G] life, just a-[F] waitin' for you [C] [F] [G] [F]
[C]Now I don't want you [F]back for the [G] weekend, not [F]back for a day [C] [F] [G] [F]
[C] I said baby I [F] just want you [G] back, and I [F] want you to stay [C] [F] [G]

[F] I'm walking on [G] sunshine... [F] Whoah! x3
And don't it feel good!

[C] [F] [G] [F]x 3

I feel [C] alive, I feel a [F] love, I feel a [G] love that's really [F] real
I feel [C] alive, I feel a [F] love, I feel a [G] love that's really [F] real

[C] [F] [G] [F]x 3

[F] I'm walking on [G] sunshine... [F] Whoah! x3
And don't it feel good!

[C] [F] [G] [F]x 3

[C]","C, F, G",
I'm the Urban Spaceman,Bonzo Dog Doo-Dah Band,1,Book 1,13,https://moselele.co.uk/individual_songs/Im_The_Urban_Spaceman.pdf,"[G] [A] [C] [D] [G]

[G] I'm the urban spaceman, baby, [A] I've got speed,
[C] I've got [D] everything I [G] need.
[G] I'm the urban spaceman, baby, [A] I can fly, I'm a
[C] super- [D] sonic [G] guy

I [Em] don't need pleasure, I [C] don't feel [G] pain,
[C] if you were to [G] knock me down, I'd [A] just get up [D] again
[G] I'm the urban spaceman, baby, [A] I'm making out,
[C] I'm [D] all [G] about

[G] [A] [C] [D] [G] (With Kazoo solo)

I [Em] wake up every morning with a [C] smile upon my [G] face
[C] My natural [G] exuberance spills [A] out all over the [D] place
[G] I'm the urban spaceman, I'm [A] intelligent and clean,
[C] know [D] what I [G] mean

[G] I'm the urban spaceman, as a [A] lover second to none,
[C] it's a [D] lot of [G] fun

[G] [A] [C] [D] [G] (With Kazoo solo)
[G] [A] [C] [D] [G] (With Kazoo solo)

I [Em] never let my friends down, [C] I've never made a [G] boob
[C] I'm a glossy [G] magazine, an [A] advert on the [D] tube
[G] I'm the urban spaceman, baby, [A]  here comes the twist
[C] I [D]  don't [G] exist.

[G]","A, C, D, Em, G",
Livin' On a Prayer,Bon Jovi,1,Book 1,14,https://moselele.co.uk/individual_songs/Livin_On_A_Prayer.pdf,"([Em] Once upon a time, not so long ago…)
[Em] Tommy used to work on the docks,
Union’s been on strike, he’s down on his luck,
It’s [C] tough. [D] So [Em] tough.
Gina works the diner all day,
Workin’ for her man, she brings home her pay
For [C] love. [D] Ooo for [Em] love.

She says, we’ve gotta [C] hold [D] on to what we’ve [Em] got,
It [C] doesn’t make a [D] difference if we make it or [Em] not
We’ve [C] got each [D] other, and that’s a [Em] lot for [C] love.
We’ll [D] give it a shot.

Whoa [Em] Oh we’re [C] half way [D] there,
[G] Oh [C] oh, [D] livin’ on a prayer,
[Em] Take my [C] hand and we’ll [D] make it I swear
[G] Oh [C] oh, [D] livin’ on a prayer. [Em]

[Em] Tommy’s got his six-string in hock,
Now he’s holdin’ in, well they used to make him talk
So [C] tough. [D] Oh it’s [Em] tough.
Gina dreams of running away.
When she cries in the night Tommy whispers,
Baby it’s [C] ok [D], [Em] someday.’

We’ve gotta [C] hold [D] on to what we’ve [Em] got,
It [C] doesn’t make a [D] difference if we make it or [Em] not
We’ve [C] got each [D] other, and that’s a [Em] lot for [C] love.
We’ll [D] give it a shot.

Whoa [Em] Oh we’re [C] half way [D] there,
[G] Oh [C] oh, [D] livin’ on a prayer,
[Em] Take my [C] hand and we’ll [D] make it I swear
[G] Oh [C] oh, [D] livin’ on a prayer.
[C] Livin’ on a Pray-y-y-er . . .

(Kazoo Solo)
[Em][C][D]
[G][C][D]
[Em][C][D]
[G][C][Em]

We’ve gotta [C] hold [D] on to what we’ve [Em] got,
It [C] doesn’t make a [D] difference if we make it or [Em] not
We’ve [C] got each [D] other, and that’s a [Em] lot for [C] love.
We’ll [D] give it a shot.

Whoa [Em] Oh we’re [C] half way [D] there,
[G] Oh [C] oh, [D] livin’ on a prayer,
[Em] Take my [C] hand and we’ll [D] make it I swear
[G] Oh [C] oh, [D] livin’ on a prayer.
[C] Livin’ on a Pray-y-y-er . . .","C, D, Em, G",
Creep,Radiohead,2,Book 1,16,https://moselele.co.uk/individual_songs/Creep.pdf,"B             C            Cm

Pause = [*]

[G] [B] [C] [Cm]

[Verse 1]
When you were here [G]before
Couldn't look you in the [B]eyes
You look like an [C]angel
Your skin makes me [Cm]cry

[Cm] You float like a [G]feather
In a beautiful [B] wind
I wish I was [C] special
You're so fucking [Cm]special

[Chorus]
[Cm] But I'm a creep [G]
I'm a [B] weirdo
What the hell am I doing [C] here
I don't be[Cm]long here

[Verse 2]
[*] I don't care if it [G] hurts
I wanna have control [B]
I wanna perfect [C]body
I want a perfect [Cm]soul

[Cm] I want you to [G] notice
When I'm not [B]around
You're so fucking [C]special
I wish I was [Cm] special

[Chorus]
[Cm] But I'm a creep [G]
I'm a [B] weirdo
What the hell am I doing [C] here
I don't be[Cm]long  here

[Bridge]
oooh oooh [G] she's running
a[B]waaaaay
[C] she's running
[Cm] run, run, run  run

[G] [B] [C] Ruuun [Cm]

[*] Whatever makes you [G] happy
Whatever you [B]want
You're so fucking [C] special
Wish I was [Cm]special

[Cm] But I'm a creep [G]
I'm a [B] weirdo
What the hell am I doing [C] here
I don't be[Cm]long here
I don't be[G]long here","B, Bridge, C, Chorus, Cm, G, Verse 1, Verse 2",
Yoshimi Battles The Pink Robots,The Flaming Lips,1,Book 1,18,https://moselele.co.uk/individual_songs/Yoshimi_Battles_The_Pink_Robots.pdf,"[C] [Em] [Dm] [F] [G]

[C]Her name is Yo-[Em]-shimi
[Dm]She's a black belt in ka[G]rate
[C]Working for the [Em]city
[Dm]She has to discipline her [G]body

'Cause she [F]knows that
It's de-[G]-manding
To de[C]feat those evil ma[F]chines
I know she can [G]beat them

Oh Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm]you won't let those [F] robots [G] eat me
Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F] robots de-[G]-feat me

[C] Those evil-natured [Em] robots
[Dm] They're programmed to des-[G]-troy us
[C] She's gotta be strong to [Em] fight them
[Dm] So she's taking lots of [G] vitamins

'Cause she [F] knows that
It'd be [G] tragic
If those [C] evil robots [F] win
I know she can [G] beat them

Oh Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm]you won't let those [F]robots de-[G]-feat me
Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F]robots [G] eat me

Yo-[C]-shimi [Em] [Dm] [G]

'Cause she [F] knows that
It'd be [G] tragic
If those [C] evil robots [F] win
I know she can [G] beat them

Oh Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F] robots de-[G]-feat me
Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F] robots [G] eat me

Oh Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F]robots [G] eat me
Yo-[C]-shimi, they don't be-[Em]-lieve me
But [Dm] you won't let those [F] robots de-[G]-feat me
[C] Yoshimi","C, Dm, Em, F, G",
